"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",1.49596882840555,0.204383189288686,7.31943186527213,2.49022976747562e-13
"emp_ratio",-0.0403416689299847,0.00347552625681671,-11.6073555338161,3.78129675965893e-31
"wkrs",6.10806868468106e-09,7.55085689203255e-10,8.08923910493671,6.00386080847459e-16
