"term","estimate","std.error","statistic","p.value","R2","N"
"(Intercept)",54.0151657562836,1.99999245820573,27.0076847213427,7.87817002231964e-63,0.250977730569688,3024
"africa_merged$gdp_pc_k",-0.00756718895655234,0.00101159369570132,-7.48046274774987,4.00925074368735e-12,0.250977730569688,3024
